date	month	year	dow	pm1	      temp	stagno	admyng	gasyng
10475	9	88	2	19.2214011	58	13.5	3	0
10476	9	88	3	9.264230228	62	0.5	3	1
10477	9	88	4	4.055204357	64	9	2	1
10478	9	88	5	8.380264337	63	7.5	2	1
10479	9	88	6	4.204913642	59	8.5	5	0
10480	9	88	7	4.606209802	57	11	1	0
10481	9	88	1	5.857824958	60	12.5	2	0
10482	9	88	2	7.931191521	65	12.5	3	0
10483	9	88	3	15.12747395	70	17	8	0
10484	9	88	4	14.80886732	67	9.5	4	1
10485	9	88	5	16.4572716	56	12.5	6	0
10486	9	88	6	6.042137322	58	2.5	7	1
10487	9	88	7	7.514676873	56	14	5	2
10488	9	88	1	9.033564341	51	NA	7	1
10489	9	88	2	4.962224358	58	NA	8	2
10490	9	88	3	13.56130158	59	13.3	5	1
10491	9	88	4	24.88742272	57	15.5	1	1
10492	9	88	5	25.32055062	53	10	4	1
10493	9	88	6	12.21407103	56	3.5	9	0
10494	9	88	7	20.29637203	48	20	5	1
10495	9	88	1	9.207398492	55	12	8	1
10496	9	88	2	10.15009209	58	6.5	6	0
10497	9	88	3	4.407491469	58	3.5	4	0
10498	9	88	4	15.04906621	61	12.5	8	0
10499	9	88	5	23.09509059	62	17	9	1
10500	9	88	6	22.16020909	64	9.5	4	1
10501	10	88	7	14.2275236	66	9.5	11	2
10502	10	88	1	45.42315226	62	12.5	4	1
10503	10	88	2	80.6553546	55	18.5	9	1
10504	10	88	3	46.50474112	61	15	6	0
10505	10	88	4	18.7756757	57	19	5	0
10506	10	88	5	41.2235642	59	10.5	2	0
10507	10	88	6	45.86743048	56	8.5	5	1
10508	10	88	7	48.05142746	56	8.5	6	0
10509	10	88	1	32.56290417	60	12.5	3	1
10510	10	88	2	41.06006048	61	14.5	3	1
10511	10	88	3	19.40562484	57	12.5	10	1
10512	10	88	4	35.05229428	58	18.5	6	0
10513	10	88	5	32.93229928	58	14.5	6	2
10514	10	88	6	10.39798948	57	1.5	3	1
10515	10	88	7	5.555218503	59	0	5	0
10516	10	88	1	10.31877989	54	11	5	1
10517	10	88	2	25.12613165	51	11	7	0
10518	10	88	3	39.34664059	50	17.5	10	1
10519	10	88	4	18.72413228	59	17.5	9	1
10520	10	88	5	26.79270318	59	14	6	2
10521	10	88	6	24.0707127	56	5	3	0
10522	10	88	7	10.49433828	51	19.5	3	2
10523	10	88	1	31.47370388	51	22	3	0
10524	10	88	2	29.25872327	54	14.5	5	0
10525	10	88	3	47.05880475	52	19	11	1
10526	10	88	4	26.6098157	49	11.5	9	1
10527	10	88	5	20.92780202	45	7	3	0
10528	10	88	6	51.42940973	47	21.5	1	0
10529	10	88	7	26.73801636	53	7	3	1
10530	10	88	1	20.52521441	54	10.5	4	2
10531	10	88	2	32.70753811	58	12.5	7	0
10532	11	88	3	15.75151485	54	4	3	0
10533	11	88	4	9.169263039	52	3	2	1
10534	11	88	5	8.253771623	50	0	3	2
10535	11	88	6	10.65690604	50	6	7	0
10536	11	88	7	4.719837506	55	2	4	2
10537	11	88	1	5.992032948	47	1.5	4	2
10538	11	88	2	32.2531	46	23	9	0
10539	11	88	3	14.49878074	47	4.5	10	1
10540	11	88	4	17.55666911	46	10.5	6	1
10541	11	88	5	6.353697031	46	3	4	1
10542	11	88	6	8.103455039	46	8.5	7	0
10543	11	88	7	5.673468954	45	3.5	3	1
10544	11	88	1	15.75727331	46	8	5	1
10545	11	88	2	23.85417729	43	9	7	0
10546	11	88	3	16.43405155	46	19.5	8	2
10547	11	88	4	11.98807983	46	16.5	9	2
10548	11	88	5	24.87426245	41	16.5	7	2
10549	11	88	6	18.1100745	42	5	5	0
10550	11	88	7	8.330168853	45	6	6	1
10551	11	88	1	7.069712774	49	2.5	6	1
10552	11	88	2	8.184386922	47	3	5	0
10553	11	88	3	6.841003769	47	0	3	0
10554	11	88	4	8.309195613	43	2	5	0
10555	11	88	5	9.02524144	39	13	0	0
10556	11	88	6	5.711960749	41	5	12	1
10557	11	88	7	16.64332893	40	12.5	7	2
10558	11	88	1	9.40916577	44	5	7	0
10559	11	88	2	10.52099033	42	3	5	0
10560	11	88	3	18.85209965	44	9	6	0
10561	11	88	4	77.26139221	38	19.5	3	1
10562	12	88	5	95.90272479	43	14.2	4	1
10563	12	88	6	27.71455526	44	14.5	2	1
10564	12	88	7	53.28567715	44	21.5	3	3
10565	12	88	1	70.16520622	44	13.5	4	1
10566	12	88	2	32.69624451	48	13.5	5	1
10567	12	88	3	8.463686534	51	1	5	0
